customer_id,user_id,event_id,event_type,event_timestamp
6,135,6596,POSTURE_CHANGE,2020-10-30 13:30:43
8,216,4818,POSTURE_CHANGE,2020-10-04 09:41:37
8,107,7010,POSTURE_CHANGE,2020-01-01 04:28:11
8,188,5936,POSTURE_CHANGE,2020-04-01 17:01:13
6,116,7624,DATA_DOWNLOAD,2020-09-03 12:52:37
10,186,6466,DATA_DOWNLOAD,2020-12-07 10:02:13
7,193,5110,DATA_DOWNLOAD,2020-02-25 10:15:50
1,11,8990,DATA_DOWNLOAD,2020-10-09 17:40:51
1,26,6129,POSTURE_CHANGE,2020-05-23 08:14:07
3,137,3155,MAILFILTER,2020-05-16 14:49:01
3,337,9455,POSTURE_CHANGE,2020-02-18 12:51:14
2,195,3696,MAILFILTER,2020-04-30 21:36:31
2,191,5647,DATA_DOWNLOAD,2020-06-23 11:59:07
8,98,9086,POSTURE_CHANGE,2020-07-01 19:48:00
2,148,1327,POSTURE_CHANGE,2020-03-26 11:59:35
7,41,3699,DATA_DOWNLOAD,2020-05-12 11:18:35
3,115,2903,POSTURE_CHANGE,2020-05-12 18:54:01
7,318,9403,POSTURE_CHANGE,2020-06-11 08:59:26
3,142,8742,DATA_DOWNLOAD,2020-03-05 01:17:07
10,171,8175,POSTURE_CHANGE,2020-02-14 03:57:25
4,109,7916,POSTURE_CHANGE,2020-05-07 11:01:34
2,172,7282,DATA_DOWNLOAD,2020-04-09 01:33:15
4,35,6255,POSTURE_CHANGE,2020-03-05 04:02:08
4,117,5303,MAILFILTER,2020-02-09 19:02:43
2,167,3897,SIGN_IN,2020-09-23 01:08:58
8,187,4206,POSTURE_CHANGE,2020-02-04 14:51:10
3,252,9159,MAILFILTER,2020-02-04 10:06:20
2,101,1619,POSTURE_CHANGE,2020-03-31 02:34:51
9,33,6764,DATA_DOWNLOAD,2020-07-23 02:05:44
3,316,7298,DATA_DOWNLOAD,2020-03-06 02:32:09
4,238,5368,DATA_DOWNLOAD,2020-02-21 00:40:25
3,358,8947,MAILFILTER,2020-09-12 08:46:40
3,228,7815,DATA_DOWNLOAD,2020-10-25 00:34:06
3,174,5991,SIGN_IN,2020-05-08 07:38:52
6,73,5434,MAILFILTER,2020-03-23 13:26:08
8,31,8435,DATA_DOWNLOAD,2020-07-05 19:56:12
6,155,8729,POSTURE_CHANGE,2020-11-16 21:05:15
3,36,4770,SIGN_IN,2020-03-29 23:04:24
10,288,6357,POSTURE_CHANGE,2020-05-21 22:23:10
7,325,1910,DATA_DOWNLOAD,2020-09-21 03:14:25
10,195,1632,DATA_DOWNLOAD,2020-11-11 12:40:33
3,265,2513,POSTURE_CHANGE,2020-05-21 21:25:01
3,92,4593,SIGN_IN,2020-04-05 09:10:56
4,7,5787,DATA_DOWNLOAD,2020-03-21 12:44:01
7,97,6086,MAILFILTER,2020-04-19 13:36:33
3,229,5084,SIGN_IN,2020-08-08 10:51:09
10,49,5175,MAILFILTER,2020-04-09 04:19:03
3,171,2619,MAILFILTER,2020-01-04 02:09:06
2,19,8081,SIGN_IN,2020-05-20 15:45:35
10,232,3931,DATA_DOWNLOAD,2020-11-13 01:58:33
3,132,6346,DATA_DOWNLOAD,2020-07-14 16:54:10
3,407,1407,DATA_DOWNLOAD,2020-09-28 16:53:31
10,189,8119,DATA_DOWNLOAD,2020-10-13 21:24:02
2,18,1571,POSTURE_CHANGE,2020-11-29 06:57:55
10,193,3434,SIGN_IN,2020-10-06 20:28:26
6,185,4154,DATA_DOWNLOAD,2020-07-05 16:55:00
3,186,9812,DATA_DOWNLOAD,2020-05-10 15:51:49
8,77,8765,POSTURE_CHANGE,2020-11-23 06:42:58
3,245,9237,MAILFILTER,2020-11-24 08:50:04
10,241,9903,SIGN_IN,2020-11-29 17:35:34
2,163,8890,DATA_DOWNLOAD,2020-08-27 19:37:56
4,13,7501,POSTURE_CHANGE,2020-08-28 19:47:49
7,132,7315,POSTURE_CHANGE,2020-03-03 09:52:23
10,46,7931,MAILFILTER,2020-08-26 23:19:18
3,88,3215,DATA_DOWNLOAD,2020-08-25 13:41:12
3,351,4840,DATA_DOWNLOAD,2020-09-17 12:33:24
7,63,4169,MAILFILTER,2020-08-05 17:42:56
3,169,8548,MAILFILTER,2020-03-05 02:15:18
3,170,2961,SIGN_IN,2020-08-22 02:35:34
7,266,5193,MAILFILTER,2020-06-30 23:18:41
5,9,6013,MAILFILTER,2020-05-13 22:11:23
4,198,2030,SIGN_IN,2020-04-23 17:23:07
1,19,8708,MAILFILTER,2020-07-28 12:59:02
7,23,8535,SIGN_IN,2020-04-25 06:22:22
3,303,1788,SIGN_IN,2020-01-11 04:03:39
3,18,3225,MAILFILTER,2020-07-17 16:32:04
10,247,6538,MAILFILTER,2020-10-10 21:23:55
4,55,3093,SIGN_IN,2020-10-13 09:48:19
3,112,9178,MAILFILTER,2020-04-12 09:18:08
6,49,3202,SIGN_IN,2020-09-22 20:37:41
2,20,5878,SIGN_IN,2020-09-06 09:59:44
4,112,9306,SIGN_IN,2020-08-23 06:18:20
7,385,2704,POSTURE_CHANGE,2020-03-31 22:55:45
3,180,3945,SIGN_IN,2020-07-23 05:45:08
3,129,2074,MAILFILTER,2020-06-30 02:33:54
3,354,1613,DATA_DOWNLOAD,2020-08-04 06:48:37
3,43,2682,DATA_DOWNLOAD,2020-09-13 11:56:53
2,164,4824,POSTURE_CHANGE,2020-01-30 05:57:00
2,52,3359,MAILFILTER,2020-09-17 15:28:21
3,393,2435,MAILFILTER,2020-03-09 23:18:47
6,222,2238,DATA_DOWNLOAD,2020-06-17 11:00:26
8,216,4845,POSTURE_CHANGE,2020-01-14 17:40:45
3,316,5771,SIGN_IN,2020-09-25 11:11:08
6,41,1527,MAILFILTER,2020-10-26 19:56:08
2,111,6916,MAILFILTER,2020-07-08 05:39:17
2,127,6175,SIGN_IN,2020-10-03 10:35:37
3,50,7182,SIGN_IN,2020-11-12 11:19:50
7,138,9946,POSTURE_CHANGE,2020-02-12 11:32:28
7,64,3179,SIGN_IN,2020-10-08 18:42:21
2,102,3297,SIGN_IN,2020-08-04 10:04:09
4,153,6408,SIGN_IN,2020-05-15 07:30:08
2,154,4103,MAILFILTER,2020-04-14 01:26:46
2,168,9533,MAILFILTER,2020-01-21 21:00:43
2,90,4511,MAILFILTER,2020-01-21 15:39:49
7,34,8980,SIGN_IN,2020-12-19 14:11:56
10,198,1871,MAILFILTER,2020-10-09 22:53:28
10,82,5814,DATA_DOWNLOAD,2020-08-17 16:45:59
7,5,3041,POSTURE_CHANGE,2020-05-25 16:28:37
4,1,3273,SIGN_IN,2020-01-27 17:13:27
7,279,3531,SIGN_IN,2020-01-01 10:50:57
3,364,9409,POSTURE_CHANGE,2020-01-20 05:53:53
3,97,1720,DATA_DOWNLOAD,2020-11-20 09:07:30
7,211,6708,MAILFILTER,2020-02-20 12:09:12
6,100,9671,SIGN_IN,2020-01-03 00:16:49
6,119,8284,MAILFILTER,2020-01-19 04:10:46
4,76,7956,SIGN_IN,2020-01-28 11:54:25
7,385,4921,POSTURE_CHANGE,2020-10-09 16:19:41
8,42,6098,DATA_DOWNLOAD,2020-08-20 05:16:12
10,44,8059,POSTURE_CHANGE,2020-11-20 16:22:54
1,3,2879,MAILFILTER,2020-07-03 11:27:11
10,93,3775,SIGN_IN,2020-05-02 01:50:41
1,27,8764,SIGN_IN,2020-09-12 00:53:49
7,56,4777,POSTURE_CHANGE,2020-07-17 22:39:45
3,294,6991,MAILFILTER,2020-05-21 01:16:45
1,41,5313,POSTURE_CHANGE,2020-08-27 05:32:35
7,305,3686,MAILFILTER,2020-02-18 15:07:34
3,220,2677,POSTURE_CHANGE,2020-08-03 16:49:02
1,30,5258,POSTURE_CHANGE,2020-05-15 23:25:15
